Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1245973,-,-,-,40.73,-73.98,-5,11,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI
2007,10,17,1,0,0
2007,10,17,1,30,0
2007,10,17,2,0,0
2007,10,17,2,30,0
2007,10,17,3,0,0
2007,10,17,3,30,0
2007,10,17,4,0,0
2007,10,17,4,30,0
2007,10,17,5,0,0
2007,10,17,5,30,0
2007,10,17,6,0,0
2007,10,17,6,30,5
2007,10,17,7,0,24
2007,10,17,7,30,47
2007,10,17,8,0,102
2007,10,17,8,30,196
2007,10,17,9,0,214
2007,10,17,9,30,197
2007,10,17,10,0,221
2007,10,17,10,30,554
2007,10,17,11,0,580
2007,10,17,11,30,593
2007,10,17,12,0,590
2007,10,17,12,30,574
2007,10,17,13,0,539
2007,10,17,13,30,496
2007,10,17,14,0,440
2007,10,17,14,30,375
2007,10,17,15,0,302
2007,10,17,15,30,222
2007,10,17,16,0,139
2007,10,17,16,30,62
2007,10,17,17,0,7
2007,10,17,17,30,0
2007,10,17,18,0,0
2007,10,17,18,30,0
2007,10,17,19,0,0
2007,10,17,19,30,0
2007,10,17,20,0,0
2007,10,17,20,30,0
2007,10,17,21,0,0
2007,10,17,21,30,0
2007,10,17,22,0,0
2007,10,17,22,30,0
2007,10,17,23,0,0
2007,10,17,23,30,0
2007,10,18,0,0,0
2007,10,18,0,30,0
2007,10,18,1,0,0
2007,10,18,1,30,0
2007,10,18,2,0,0
2007,10,18,2,30,0
2007,10,18,3,0,0
2007,10,18,3,30,0
2007,10,18,4,0,0
2007,10,18,4,30,0
2007,10,18,5,0,0
2007,10,18,5,30,0
2007,10,18,6,0,0
2007,10,18,6,30,14
2007,10,18,7,0,64
2007,10,18,7,30,124
2007,10,18,8,0,162
2007,10,18,8,30,189
2007,10,18,9,0,326
2007,10,18,9,30,378
2007,10,18,10,0,456
2007,10,18,10,30,504
2007,10,18,11,0,452
2007,10,18,11,30,447
2007,10,18,12,0,500
2007,10,18,12,30,505
2007,10,18,13,0,425
2007,10,18,13,30,430
2007,10,18,14,0,282
2007,10,18,14,30,235
2007,10,18,15,0,234
2007,10,18,15,30,192
2007,10,18,16,0,126
2007,10,18,16,30,59
2007,10,18,17,0,9
2007,10,18,17,30,0
2007,10,18,18,0,0
2007,10,18,18,30,0
2007,10,18,19,0,0
2007,10,18,19,30,0
2007,10,18,20,0,0
2007,10,18,20,30,0
2007,10,18,21,0,0
2007,10,18,21,30,0
2007,10,18,22,0,0
2007,10,18,22,30,0
2007,10,18,23,0,0
2007,10,18,23,30,0
2007,10,19,0,0,0
2007,10,19,0,30,0
2007,10,19,1,0,0
2007,10,19,1,30,0
2007,10,19,2,0,0
2007,10,19,2,30,0
2007,10,19,3,0,0
2007,10,19,3,30,0
2007,10,19,4,0,0
2007,10,19,4,30,0
2007,10,19,5,0,0
2007,10,19,5,30,0
2007,10,19,6,0,0
2007,10,19,6,30,10
2007,10,19,7,0,42
2007,10,19,7,30,45
2007,10,19,8,0,46
2007,10,19,8,30,45
2007,10,19,9,0,165
2007,10,19,9,30,185
2007,10,19,10,0,213
2007,10,19,10,30,194
2007,10,19,11,0,209
2007,10,19,11,30,128
2007,10,19,12,0,56
2007,10,19,12,30,101
2007,10,19,13,0,47
2007,10,19,13,30,270
2007,10,19,14,0,98
2007,10,19,14,30,113
2007,10,19,15,0,90
2007,10,19,15,30,47
2007,10,19,16,0,86
2007,10,19,16,30,39
2007,10,19,17,0,6
2007,10,19,17,30,0
2007,10,19,18,0,0
2007,10,19,18,30,0
2007,10,19,19,0,0
2007,10,19,19,30,0
2007,10,19,20,0,0
2007,10,19,20,30,0
