,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,GHI_yesterday,GHI_Avg_Week,GHI_Avg_Month
2010-02-25 15:30:00,2010,2,25,15,30,135,135,0,5.276871681213379,11.881372070312526,58.08756848037344,551.0,235.57142857142858,218.06666666666666
2010-02-25 16:00:00,2010,2,25,16,0,108,108,0,5.1663551330566415,11.3740173339844,63.186286870311605,456.0,184.28571428571428,176.06666666666666
2010-02-25 16:30:00,2010,2,25,16,30,42,42,0,5.226318359375,10.66814575195315,68.62988797312758,353.0,154.57142857142858,139.23333333333332
2010-02-25 17:00:00,2010,2,25,17,0,108,104,18,5.2862815856933585,9.9622741699219,74.33528552058695,245.0,91.57142857142857,87.03333333333333
2010-02-25 17:30:00,2010,2,25,17,30,61,61,0,5.338566780090332,9.384057617187525,80.23783487693692,139.0,108.42857142857143,71.03333333333333
2010-02-25 18:00:00,2010,2,25,18,0,0,0,0,5.3908514976501465,8.805810546875025,86.2860745325938,0.0,0.0,0.0
2010-02-25 18:30:00,2010,2,25,18,30,0,0,0,5.349410057067871,8.438592529296898,92.44239839024134,0.0,0.0,0.0
2010-02-25 19:00:00,2010,2,25,19,0,0,0,0,5.307969093322754,8.071374511718773,98.66666888407516,0.0,0.0,0.0
2010-02-25 19:30:00,2010,2,25,19,30,0,0,0,5.237901210784912,7.817071533203148,104.92891877872835,0.0,0.0,0.0
2010-02-25 20:00:00,2010,2,25,20,0,0,0,0,5.16783332824707,7.562768554687523,111.19774254974138,0.0,0.0,0.0
2010-02-25 20:30:00,2010,2,25,20,30,0,0,0,5.164041519165039,7.389733886718773,117.43919185035428,0.0,0.0,0.0
2010-02-25 21:00:00,2010,2,25,21,0,0,0,0,5.16024923324585,7.216729736328148,123.61285110445708,0.0,0.0,0.0
2010-02-25 21:30:00,2010,2,25,21,30,0,0,0,5.154725551605225,7.065576171875023,129.66611836767262,0.0,0.0,0.0
2010-02-25 22:00:00,2010,2,25,22,0,0,0,0,5.1492018699646,6.914453125000023,135.5251694634357,0.0,0.0,0.0
2010-02-25 22:30:00,2010,2,25,22,30,0,0,0,5.066396713256836,6.701409912109398,141.08015237465847,0.0,0.0,0.0
2010-02-25 23:00:00,2010,2,25,23,0,0,0,0,4.983592033386231,6.488397216796898,146.16140383737866,0.0,0.0,0.0
2010-02-25 23:30:00,2010,2,25,23,30,0,0,0,4.8428826332092285,6.264123535156273,150.50614255729226,0.0,0.0,0.0
2010-02-26 00:00:00,2010,2,26,0,0,0,0,0,4.702173233032227,6.039849853515648,153.73273769147113,0.0,0.0,0.0
2010-02-26 00:30:00,2010,2,26,0,30,0,0,0,4.529497146606445,5.812188720703148,155.38814556253382,0.0,0.0,0.0
2010-02-26 01:00:00,2010,2,26,1,0,0,0,0,4.356821060180663,5.584527587890649,155.1520026078615,0.0,0.0,0.0
2010-02-26 01:30:00,2010,2,26,1,30,0,0,0,4.153841495513916,5.384149169921899,153.07430672734904,0.0,0.0,0.0
2010-02-26 02:00:00,2010,2,26,2,0,0,0,0,3.950861930847168,5.183770751953149,149.53345599189956,0.0,0.0,0.0
2010-02-26 02:30:00,2010,2,26,2,30,0,0,0,3.738314151763916,5.164361572265649,144.97724405530013,0.0,0.0,0.0
2010-02-26 03:00:00,2010,2,26,3,0,0,0,0,3.525766611099243,5.144982910156274,139.75821334676934,0.0,0.0,0.0
2010-02-26 03:30:00,2010,2,26,3,30,0,0,0,3.261484384536743,5.156365966796899,134.11317183280025,0.0,0.0,0.0
2010-02-26 04:00:00,2010,2,26,4,0,0,0,0,2.997202157974243,5.167749023437524,128.19440800422714,0.0,0.0,0.0
2010-02-26 04:30:00,2010,2,26,4,30,0,0,0,2.6551449298858643,5.158868408203149,122.10114125324881,0.0,0.0,0.0
2010-02-26 05:00:00,2010,2,26,5,0,0,0,0,2.3130877017974854,5.149987792968774,115.90084419182364,0.0,0.0,0.0
2010-02-26 05:30:00,2010,2,26,5,30,0,0,0,1.8681503534317017,5.097436523437524,109.64235822100271,0.0,0.0,0.0
2010-02-26 06:00:00,2010,2,26,6,0,0,0,0,1.4232130050659182,5.044854736328149,103.3639319941067,0.0,0.0,0.0
2010-02-26 06:30:00,2010,2,26,6,30,0,0,0,0.8825299739837646,5.090051269531274,97.09838611153528,0.0,0.0,0.0
2010-02-26 07:00:00,2010,2,26,7,0,0,0,0,0.3418469130992889,5.135217285156274,90.87306631273182,0.0,0.0,0.0
2010-02-26 07:30:00,2010,2,26,7,30,9,9,0,0.5884982943534851,5.274224853515649,84.72968026710375,54.0,18.857142857142858,11.166666666666666
2010-02-26 08:00:00,2010,2,26,8,0,26,26,0,0.8351497054100037,5.413201904296899,78.69697210901896,125.0,52.57142857142857,58.3
2010-02-26 08:30:00,2010,2,26,8,30,45,45,0,1.4898573160171509,5.438012695312524,72.81883736222686,260.0,106.85714285714286,98.7
2010-02-26 09:00:00,2010,2,26,9,0,25,25,0,2.1445648670196533,5.462792968750024,67.1489620177334,289.0,152.85714285714286,133.7
2010-02-26 09:30:00,2010,2,26,9,30,21,21,0,2.855654001235962,5.356256103515649,61.75551832306591,368.0,186.14285714285714,159.96666666666667
2010-02-26 10:00:00,2010,2,26,10,0,33,33,0,3.5667431354522705,5.249719238281274,56.726509670083324,425.0,255.57142857142858,203.23333333333332
2010-02-26 10:30:00,2010,2,26,10,30,50,50,0,4.146058082580566,5.089746093750024,52.175093821380386,468.0,279.14285714285717,244.96666666666667
2010-02-26 11:00:00,2010,2,26,11,0,51,51,0,4.725372791290283,4.929772949218774,48.242988936265974,531.0,259.2857142857143,259.0
2010-02-26 11:30:00,2010,2,26,11,30,57,57,0,5.056807518005371,4.869317626953149,45.09754884059975,563.0,313.57142857142856,309.7
2010-02-26 12:00:00,2010,2,26,12,0,44,44,0,5.388242244720459,4.808831787109399,42.915849886023466,786.0,337.42857142857144,310.6333333333333
2010-02-26 12:30:00,2010,2,26,12,30,59,59,0,5.53426456451416,4.993676757812524,41.851295277609225,801.0,348.14285714285717,316.43333333333334
2010-02-26 13:00:00,2010,2,26,13,0,56,56,0,5.68028736114502,5.178491210937524,41.990013827552055,798.0,399.42857142857144,349.23333333333335
2010-02-26 13:30:00,2010,2,26,13,30,55,55,0,5.685211181640625,5.342828369140649,43.32025051742149,542.0,331.57142857142856,335.3333333333333
2010-02-26 14:00:00,2010,2,26,14,0,39,39,0,5.690135478973389,5.507135009765649,45.73679432005896,395.0,284.2857142857143,311.8
2010-02-26 14:30:00,2010,2,26,14,30,68,68,0,5.5647239685058585,5.747552490234398,49.07701586355584,321.0,253.57142857142858,284.96666666666664
2010-02-26 15:00:00,2010,2,26,15,0,62,62,0,5.43931245803833,5.987969970703148,53.16369957429512,197.0,223.42857142857142,253.13333333333333
2010-02-26 15:30:00,2010,2,26,15,30,31,31,0,5.297112464904785,6.101129150390648,57.83448330240328,135.0,181.0,210.93333333333334
2010-02-26 16:00:00,2010,2,26,16,0,63,63,0,5.154912948608398,6.214257812500023,62.95419316516053,108.0,139.0,168.66666666666666
2010-02-26 16:30:00,2010,2,26,16,30,38,38,0,4.788505554199219,5.996392822265648,68.41578033379493,42.0,114.14285714285714,132.8
2010-02-26 17:00:00,2010,2,26,17,0,37,37,0,4.422097682952881,5.778527832031273,74.13618254077019,108.0,75.42857142857143,86.03333333333333
2010-02-26 17:30:00,2010,2,26,17,30,21,21,0,4.289586067199707,5.491967773437524,80.05090102213126,61.0,100.0,70.63333333333334
2010-02-26 18:00:00,2010,2,26,18,0,0,0,0,4.157074451446533,5.205438232421899,86.10866409869568,0.0,0.0,0.0
2010-02-26 18:30:00,2010,2,26,18,30,0,0,0,4.082240104675293,4.981591796875024,92.27183300745052,0.0,0.0,0.0
2010-02-26 19:00:00,2010,2,26,19,0,0,0,0,4.007405757904054,4.757745361328149,98.5004858991705,0.0,0.0,0.0
2010-02-26 19:30:00,2010,2,26,19,30,0,0,0,3.918490171432495,4.405755615234399,104.76454023598427,0.0,0.0,0.0
2010-02-26 20:00:00,2010,2,26,20,0,0,0,0,3.8295745849609375,4.053735351562524,111.0324195094602,0.0,0.0,0.0
2010-02-26 20:30:00,2010,2,26,20,30,0,0,0,3.673991441726685,3.7347045898437727,117.26985694849192,0.0,0.0,0.0
2010-02-26 21:00:00,2010,2,26,21,0,0,0,0,3.518408298492432,3.415704345703148,123.43593279815556,0.0,0.0,0.0
2010-02-26 21:30:00,2010,2,26,21,30,0,0,0,3.315053701400757,3.1855407714843977,129.47731050849336,0.0,0.0,0.0
2010-02-26 22:00:00,2010,2,26,22,0,0,0,0,3.111699104309082,2.955377197265648,135.31917211575166,0.0,0.0,0.0
2010-02-26 22:30:00,2010,2,26,22,30,0,0,0,2.962512969970703,2.7766052246093977,140.8504814964332,0.0,0.0,0.0
