,Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,GHI_yesterday,GHI_Avg_Week,GHI_Avg_Month
2010-02-11 07:00:00,2010,2,11,7,0,0,0,0,2.5918960571289062,-0.3912109374999773,94.07350235617987,0.0,0.0,0.0
2010-02-11 08:00:00,2010,2,11,8,0,5,5,0,2.4377801418304443,0.29641113281252274,82.14838446525113,47.0,50.14285714285714,40.3
2010-02-11 09:00:00,2010,2,11,9,0,76,76,0,2.5270321369171143,1.5215393066406475,70.9770861644827,148.0,109.42857142857143,124.23333333333332
2010-02-11 10:00:00,2010,2,11,10,0,34,34,0,2.794461250305176,2.4759765625000227,61.04529506767874,195.0,177.28571428571428,216.3
2010-02-11 11:00:00,2010,2,11,11,0,21,21,0,2.9005613327026367,2.9136596679687727,53.10560383857688,316.0,226.57142857142856,304.73333333333335
2010-02-11 12:00:00,2010,2,11,12,0,101,101,0,2.647878885269165,3.604150390625023,48.18713814463853,307.0,268.85714285714283,324.0
2010-02-11 13:00:00,2010,2,11,13,0,33,33,0,2.251171350479126,4.013482666015649,47.26009318377646,275.0,293.7142857142857,339.53333333333336
2010-02-11 14:00:00,2010,2,11,14,0,36,36,0,1.85085678100586,3.9657836914062727,50.5471514493601,146.0,299.57142857142856,309.26666666666665
2010-02-11 15:00:00,2010,2,11,15,0,11,11,0,1.6507364511489868,3.2149597167968977,57.31887557709009,135.0,246.7142857142857,260.3666666666667
2010-02-11 16:00:00,2010,2,11,16,0,50,50,0,1.664547085762024,2.1565185546875227,66.50045005774606,48.0,169.71428571428572,160.56666666666666
2010-02-11 17:00:00,2010,2,11,17,0,15,15,0,1.8347759246826167,0.9844604492187728,77.20814159444005,42.0,67.57142857142857,70.56666666666666
2010-02-11 18:00:00,2010,2,11,18,0,0,0,0,2.165657520294189,0.29354248046877274,88.84848368607025,0.0,0.0,0.0
2010-02-11 19:00:00,2010,2,11,19,0,0,0,0,2.4424185752868652,-0.09824218749997726,101.0472968727402,0.0,0.0,0.0
2010-02-11 20:00:00,2010,2,11,20,0,0,0,0,2.4493083953857417,-0.3747314453124773,113.5242599911426,0.0,0.0,0.0
2010-02-11 21:00:00,2010,2,11,21,0,0,0,0,2.249254941940308,-0.4997009277343522,126.04107917590841,0.0,0.0,0.0
2010-02-11 22:00:00,2010,2,11,22,0,0,0,0,1.9284027814865112,-0.5363525390624773,138.2790801873081,0.0,0.0,0.0
2010-02-11 23:00:00,2010,2,11,23,0,0,0,0,1.6689070463180542,-0.5217041015624773,149.59221342906966,0.0,0.0,0.0
2010-02-12 00:00:00,2010,2,12,0,0,0,0,0,1.55679452419281,-0.4915527343749773,158.21625382539068,0.0,0.0,0.0
2010-02-12 01:00:00,2010,2,12,1,0,0,0,0,1.6524053812026978,-0.5176147460937273,160.10388242238287,0.0,0.0,0.0
2010-02-12 02:00:00,2010,2,12,2,0,0,0,0,1.8505228757858283,-0.7476867675781023,153.73941630391238,0.0,0.0,0.0
2010-02-12 03:00:00,2010,2,12,3,0,0,0,0,2.1109960079193115,-1.1322387695312273,143.22391748020877,0.0,0.0,0.0
2010-02-12 04:00:00,2010,2,12,4,0,0,0,0,2.2722480297088623,-1.6495727539062273,131.25389729565705,0.0,0.0,0.0
2010-02-12 05:00:00,2010,2,12,5,0,0,0,0,2.38448166847229,-1.970861816406228,118.79473088577335,0.0,0.0,0.0
2010-02-12 06:00:00,2010,2,12,6,0,0,0,0,2.494678974151612,-2.1405090332031023,106.2547854659468,0.0,0.0,0.0
2010-02-12 07:00:00,2010,2,12,7,0,0,0,0,2.6054627895355225,-1.918005371093728,93.89019804019665,0.0,0.0,0.0
2010-02-12 08:00:00,2010,2,12,8,0,104,45,421,2.655001640319824,-0.6131347656249773,81.94660625005159,5.0,50.14285714285714,38.93333333333333
2010-02-12 09:00:00,2010,2,12,9,0,312,73,726,2.6443500518798837,1.0959106445312727,70.74926742513907,76.0,119.28571428571428,119.16666666666669
2010-02-12 10:00:00,2010,2,12,10,0,92,92,0,2.322132110595703,2.6317077636718977,60.78448109762999,34.0,177.85714285714286,204.0
2010-02-12 11:00:00,2010,2,12,11,0,78,78,0,2.227151870727539,3.927056884765648,52.808588765790326,21.0,219.28571428571428,287.6
2010-02-12 12:00:00,2010,2,12,12,0,110,110,0,2.2878663539886475,4.727685546875024,47.86154802266539,101.0,274.0,307.06666666666666
